date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:25	72169/72169	---M--	200	added ('OK')	image/png	etag:d5a920e6c49209d5761403ae9ca13462	https://bridgewater.brightspotcdn.com/dims4/default/ffcb92b/2147483647/strip/true/crop/610x610+1+0/resize/200x200!/quality/90/?url=http%3A%2F%2Fbridgewater-brightspot.s3.amazonaws.com%2F9f%2Ff7%2F252d7fb447bfb1551ee7c438cea8%2Fbob-square.png	C:/My%20Web%20Sites/h/bridgewater.brightspotcdn.com/dims4/default/ffcb92b/2147483647/strip/true/crop/610x610+1+0/resize/200x200!/quality/90/index3a62.html	(from https://www.bridgewater.com/)
11:43:25	70041/70041	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2018:43:30%20GMT	https://www.bridgewater.com/in-the-news/global-investment-outlook-the-big-picture	C:/My%20Web%20Sites/h/www.bridgewater.com/in-the-news/global-investment-outlook-the-big-picture.html	(from https://www.bridgewater.com/)
11:43:25	2124/2124	---M--	200	added ('OK')	image/png	etag:1452d43051595d9baa33893e79f199ab	https://bridgewater.brightspotcdn.com/dims4/default/35a0dd0/2147483647/strip/true/crop/1152x1152+0+0/resize/200x200!/quality/90/?url=http%3A%2F%2Fbridgewater-brightspot.s3.amazonaws.com%2F03%2F83%2F3b8694c74fb3a3f4611818990fca%2Finstitutional-investor.png	C:/My%20Web%20Sites/h/bridgewater.brightspotcdn.com/dims4/default/35a0dd0/2147483647/strip/true/crop/1152x1152+0+0/resize/200x200!/quality/90/index27fa.html	(from https://www.bridgewater.com/)
11:43:26	106372/106372	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2018:43:31%20GMT	https://www.bridgewater.com/research-and-insights/markets-continue-to-discount-that-the-fed-will-achieve-a-soft-landing-is-that-likely	C:/My%20Web%20Sites/h/www.bridgewater.com/research-and-insights/markets-continue-to-discount-that-the-fed-will-achieve-a-soft-landing-is-that-likely.html	(from https://www.bridgewater.com/)
11:43:26	74336/74336	---M--	200	added ('OK')	image/png	etag:5061b4756962d94c237d5846c3b5ddbe	https://bridgewater.brightspotcdn.com/dims4/default/cd8206e/2147483647/strip/true/crop/357x357+0+33/resize/200x200!/quality/90/?url=http%3A%2F%2Fbridgewater-brightspot.s3.amazonaws.com%2F89%2Ffd%2F75e561d24a36984cbefa929dd539%2Fnir.PNG	C:/My%20Web%20Sites/h/bridgewater.brightspotcdn.com/dims4/default/cd8206e/2147483647/strip/true/crop/357x357+0+33/resize/200x200!/quality/90/indexd2f8.html	(from https://www.bridgewater.com/)
11:43:26	68448/68448	---M--	200	added ('OK')	image/png	etag:10fe7e50fecc5c4433f2c90f6bded1cd	https://bridgewater.brightspotcdn.com/dims4/default/09b5e33/2147483647/strip/true/crop/719x719+0+0/resize/200x200!/quality/90/?url=http%3A%2F%2Fbridgewater-brightspot.s3.amazonaws.com%2Fc2%2F11%2F26a0b3be41908e84917307313a71%2Frebecca-square.png	C:/My%20Web%20Sites/h/bridgewater.brightspotcdn.com/dims4/default/09b5e33/2147483647/strip/true/crop/719x719+0+0/resize/200x200!/quality/90/indexb863.html	(from https://www.bridgewater.com/)
11:43:27	13326/13326	---M--	200	added ('OK')	image/jpeg	etag:16f6ee38275b1c62298b41ed8191517f	https://bridgewater.brightspotcdn.com/dims4/default/13bce9e/2147483647/strip/true/crop/1340x1340+0+2/resize/200x200!/quality/90/?url=http%3A%2F%2Fbridgewater-brightspot.s3.amazonaws.com%2Fce%2F4a%2F0c6a8202478fb36e7d8ce5f68956%2Fbw-thumbnail-markets-continue-to-discount-that-the-fed.jpg	C:/My%20Web%20Sites/h/bridgewater.brightspotcdn.com/dims4/default/13bce9e/2147483647/strip/true/crop/1340x1340+0+2/resize/200x200!/quality/90/indexc3d8.html	(from https://www.bridgewater.com/)
11:43:27	107757/107757	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2018:43:33%20GMT	https://www.bridgewater.com/an-update-from-our-cios-what-was-coming-is-now-upon-us	C:/My%20Web%20Sites/h/www.bridgewater.com/an-update-from-our-cios-what-was-coming-is-now-upon-us.html	(from https://www.bridgewater.com/)
11:43:27	13379/13379	---M--	200	added ('OK')	image/jpeg	etag:f126d00ea3408d94ad0da1d198768aba	https://bridgewater.brightspotcdn.com/dims4/default/dac40fc/2147483647/strip/true/crop/1341x1341+0+2/resize/200x200!/quality/90/?url=http%3A%2F%2Fbridgewater-brightspot.s3.amazonaws.com%2Fa3%2F47%2F9837052644fcb6b2b7e691eaa511%2F2022q1cio-thumbnail.jpg	C:/My%20Web%20Sites/h/bridgewater.brightspotcdn.com/dims4/default/dac40fc/2147483647/strip/true/crop/1341x1341+0+2/resize/200x200!/quality/90/indexb17f.html	(from https://www.bridgewater.com/)
11:43:27	12574/12574	---M--	200	added ('OK')	image/jpeg	etag:762be32792d5af68d0c6bc3ea96355c8	https://bridgewater.brightspotcdn.com/dims4/default/9f8a15f/2147483647/strip/true/crop/2561x2561+1113+0/resize/200x200!/quality/90/?url=http%3A%2F%2Fbridgewater-brightspot.s3.amazonaws.com%2Fb1%2F7f%2Fb5660f87416a8e03ea3a0fb56cc1%2Falex-schiller-portrait-1.jpg	C:/My%20Web%20Sites/h/bridgewater.brightspotcdn.com/dims4/default/9f8a15f/2147483647/strip/true/crop/2561x2561+1113+0/resize/200x200!/quality/90/index955f.html	(from https://www.bridgewater.com/)
